timestamp,add-chain,add-pre-chain,checkpoint,get-roots,tile
1779327480,100.0000,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,100.0000,100.0000,100.0000
1779353880,100.0000,100.0000,100.0000,100.0000,100.0000
1779368880,100.0000,100.0000,100.0000,100.0000,100.0000
1779373680,100.0000,100.0000,100.0000,100.0000,100.0000
1779377880,100.0000,100.0000,100.0000,100.0000,100.0000
1779386880,100.0000,100.0000,100.0000,100.0000,100.0000
1779390480,100.0000,100.0000,100.0000,100.0000,100.0000
1779398880,100.0000,100.0000,100.0000,100.0000,100.0000
1779405480,100.0000,100.0000,100.0000,100.0000,100.0000
1779424080,100.0000,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000
