timestamp,add-chain,add-pre-chain,checkpoint,get-roots,tile
1789163280,100.0000,100.0000,100.0000,100.0000,100.0000
1789172880,100.0000,100.0000,100.0000,100.0000,100.0000
1789192080,100.0000,100.0000,100.0000,100.0000,100.0000
1789203480,100.0000,100.0000,100.0000,100.0000,100.0000
1789218480,100.0000,100.0000,100.0000,100.0000,100.0000
1789228680,100.0000,100.0000,100.0000,100.0000,100.0000
1789237680,100.0000,100.0000,100.0000,100.0000,100.0000
1789243680,100.0000,100.0000,100.0000,100.0000,100.0000
1789249680,100.0000,100.0000,100.0000,100.0000,100.0000
1789258680,100.0000,100.0000,100.0000,100.0000,100.0000
1789276680,100.0000,100.0000,100.0000,100.0000,100.0000
1789300680,100.0000,100.0000,100.0000,100.0000,100.0000
1789312680,100.0000,100.0000,100.0000,100.0000,100.0000
1789323480,100.0000,100.0000,100.0000,100.0000,100.0000
1789333680,100.0000,100.0000,100.0000,100.0000,100.0000
1789339680,100.0000,100.0000,100.0000,100.0000,100.0000
1789360080,100.0000,100.0000,100.0000,100.0000,100.0000
1789379880,100.0000,100.0000,100.0000,100.0000,100.0000
1789392480,100.0000,100.0000,100.0000,100.0000,100.0000
1789414680,100.0000,100.0000,100.0000,100.0000,100.0000
1789426680,100.0000,100.0000,100.0000,100.0000,100.0000
1789444680,100.0000,100.0000,100.0000,100.0000,100.0000
1789465080,100.0000,100.0000,100.0000,100.0000,100.0000
1789481880,100.0000,100.0000,100.0000,100.0000,100.0000
1789495080,100.0000,100.0000,100.0000,100.0000,100.0000
1789504680,100.0000,100.0000,100.0000,100.0000,100.0000
1789516080,100.0000,100.0000,100.0000,100.0000,100.0000
1789537080,100.0000,100.0000,100.0000,100.0000,100.0000
1789555680,100.0000,100.0000,100.0000,100.0000,100.0000
1789572480,100.0000,100.0000,100.0000,100.0000,100.0000
1789590480,100.0000,100.0000,100.0000,100.0000,100.0000
1789600680,100.0000,100.0000,100.0000,100.0000,100.0000
1789622880,100.0000,100.0000,100.0000,100.0000,100.0000
1789643280,100.0000,100.0000,100.0000,100.0000,100.0000
1789660080,100.0000,100.0000,100.0000,100.0000,100.0000
1789672080,100.0000,100.0000,100.0000,100.0000,100.0000
1789681080,100.0000,100.0000,100.0000,100.0000,100.0000
1789691880,100.0000,100.0000,100.0000,100.0000,100.0000
1789710480,100.0000,100.0000,100.0000,100.0000,100.0000
1789727880,100.0000,100.0000,100.0000,100.0000,100.0000
1789742280,100.0000,100.0000,100.0000,100.0000,100.0000
1789757880,100.0000,100.0000,100.0000,100.0000,100.0000
1789767480,100.0000,100.0000,100.0000,100.0000,100.0000
1789777680,100.0000,100.0000,100.0000,100.0000,100.0000
1789796280,100.0000,100.0000,100.0000,100.0000,100.0000
1789813080,100.0000,100.0000,100.0000,100.0000,100.0000
1789825080,100.0000,100.0000,100.0000,100.0000,100.0000
1789837080,100.0000,100.0000,100.0000,100.0000,100.0000
1789849080,100.0000,100.0000,100.0000,100.0000,100.0000
1789857480,100.0000,100.0000,100.0000,100.0000,100.0000
1789864680,100.0000,100.0000,100.0000,100.0000,100.0000
1789883880,100.0000,100.0000,100.0000,100.0000,100.0000
1789905480,100.0000,100.0000,100.0000,100.0000,100.0000
1789915080,100.0000,100.0000,100.0000,100.0000,100.0000
1789924680,100.0000,100.0000,100.0000,100.0000,100.0000
1789936680,100.0000,100.0000,100.0000,100.0000,100.0000
1789946280,100.0000,100.0000,100.0000,100.0000,100.0000
1789965480,100.0000,100.0000,100.0000,100.0000,100.0000
1789986480,100.0000,100.0000,100.0000,100.0000,100.0000
1790001480,100.0000,100.0000,100.0000,100.0000,100.0000
1790021880,100.0000,100.0000,100.0000,100.0000,100.0000
1790031480,100.0000,100.0000,100.0000,100.0000,100.0000
1790046480,100.0000,100.0000,100.0000,100.0000,100.0000
1790068080,100.0000,100.0000,100.0000,100.0000,100.0000
1790086080,100.0000,100.0000,100.0000,100.0000,100.0000
1790100480,100.0000,100.0000,100.0000,100.0000,100.0000
1790111280,100.0000,100.0000,100.0000,100.0000,100.0000
1790120880,100.0000,100.0000,100.0000,100.0000,100.0000
1790142480,100.0000,100.0000,100.0000,100.0000,100.0000
1790159880,100.0000,100.0000,100.0000,100.0000,100.0000
1790180280,100.0000,100.0000,100.0000,100.0000,100.0000
1790189880,100.0000,100.0000,100.0000,100.0000,100.0000
1790205480,100.0000,100.0000,100.0000,100.0000,100.0000
1790217480,100.0000,100.0000,100.0000,100.0000,100.0000
1790240880,100.0000,100.0000,100.0000,100.0000,100.0000
1790261880,100.0000,100.0000,100.0000,100.0000,100.0000
1790274480,100.0000,100.0000,100.0000,100.0000,100.0000
1790279880,100.0000,100.0000,100.0000,100.0000,100.0000
1790297880,100.0000,100.0000,100.0000,100.0000,100.0000
1790320680,100.0000,100.0000,100.0000,100.0000,100.0000
1790338080,100.0000,100.0000,100.0000,100.0000,100.0000
1790359680,100.0000,100.0000,100.0000,100.0000,100.0000
