timestamp,add-chain,add-pre-chain,get-entries,get-proof-by-hash,get-roots,get-sth,get-sth-consistency
1779327480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779331080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779340680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779343680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779353880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779368880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779373680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779377880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779386880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779390480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779398880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779405480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779424080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779437280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779448680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779460680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779468480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779475680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779478680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779488880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779506280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779515880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779521880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779528480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779544680,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779554280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779557280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779560280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779572280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779575280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779581280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779596280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779608280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779614280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779620280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779628080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779635280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779638280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779644280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779650880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779653880,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779657480,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779661080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779670080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779682080,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
1779701280,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
